* min_df= 3 , max_df= 0.1, alpha= 0.09, accuracy_train=0.9367436743674368, accuracy_val=0.9006471259992387 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.01, accuracy_train=0.949014132182449, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.02, accuracy_train=0.9456714902259457, accuracy_val=0.8995051389417587 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.03, accuracy_train=0.9430904628924431, accuracy_val=0.9006471259992387 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.04, accuracy_train=0.9411864263349412, accuracy_val=0.9006471259992387 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.05, accuracy_train=0.9395785732419396, accuracy_val=0.9021697754092121 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.06, accuracy_train=0.9384784632309385, accuracy_val=0.9017891130567187 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.07, accuracy_train=0.9372091055259372, accuracy_val=0.9017891130567187 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.08, accuracy_train=0.9364051789794364, accuracy_val=0.9025504377617054 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.09, accuracy_train=0.9356858762799357, accuracy_val=0.9021697754092121 
* min_df= 3 , max_df= 0.2, alpha= 0.01, accuracy_train=0.9482102056359482, accuracy_val=0.898743814236772 
* min_df= 3 , max_df= 0.2, alpha= 0.02, accuracy_train=0.9444021325209444, accuracy_val=0.8976018271792919 
* min_df= 3 , max_df= 0.2, alpha= 0.03, accuracy_train=0.9422019124989423, accuracy_val=0.8979824895317853 
* min_df= 3 , max_df= 0.2, alpha= 0.04, accuracy_train=0.9401286282474401, accuracy_val=0.8972211648267986 
* min_df= 3 , max_df= 0.2, alpha= 0.05, accuracy_train=0.9385630870779386, accuracy_val=0.898743814236772 
* min_df= 3 , max_df= 0.2, alpha= 0.06, accuracy_train=0.9374629770669375, accuracy_val=0.8983631518842786 
* min_df= 3 , max_df= 0.2, alpha= 0.07, accuracy_train=0.9361513074384361, accuracy_val=0.898743814236772 
* min_df= 3 , max_df= 0.2, alpha= 0.08, accuracy_train=0.9356012524329356, accuracy_val=0.8991244765892653 
* min_df= 3 , max_df= 0.2, alpha= 0.09, accuracy_train=0.9345857662689346, accuracy_val=0.898743814236772 
* min_df= 3 , max_df= 0.25, alpha= 0.01, accuracy_train=0.9476178387069476, accuracy_val=0.8995051389417587 
* min_df= 3 , max_df= 0.25, alpha= 0.02, accuracy_train=0.9441482609799442, accuracy_val=0.8979824895317853 
* min_df= 3 , max_df= 0.25, alpha= 0.03, accuracy_train=0.9418211051874418, accuracy_val=0.8983631518842786 
* min_df= 3 , max_df= 0.25, alpha= 0.04, accuracy_train=0.9398324447829398, accuracy_val=0.8983631518842786 
* min_df= 3 , max_df= 0.25, alpha= 0.05, accuracy_train=0.9380976559194381, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.25, alpha= 0.06, accuracy_train=0.9365321147499366, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.25, alpha= 0.07, accuracy_train=0.9358128120504358, accuracy_val=0.9006471259992387 
* min_df= 3 , max_df= 0.25, alpha= 0.08, accuracy_train=0.935008885503935, accuracy_val=0.901027788351732 
* min_df= 3 , max_df= 0.25, alpha= 0.09, accuracy_train=0.9341203351104341, accuracy_val=0.9006471259992387 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.01, accuracy_train=0.9475332148599476, accuracy_val=0.9014084507042254 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.02, accuracy_train=0.9442328848269442, accuracy_val=0.8995051389417587 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.03, accuracy_train=0.9416518574934416, accuracy_val=0.8995051389417587 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.04, accuracy_train=0.9396631970889396, accuracy_val=0.8995051389417587 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.05, accuracy_train=0.9378437843784379, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.06, accuracy_train=0.9365744266734366, accuracy_val=0.9006471259992387 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.07, accuracy_train=0.9356012524329356, accuracy_val=0.901027788351732 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.08, accuracy_train=0.9348396378099348, accuracy_val=0.901027788351732 
* min_df= 3 , max_df= 0.30000000000000004, alpha= 0.09, accuracy_train=0.9340780231869341, accuracy_val=0.9014084507042254 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.01, accuracy_train=0.9477447744774478, accuracy_val=0.901027788351732 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.02, accuracy_train=0.9437674536684437, accuracy_val=0.901027788351732 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.03, accuracy_train=0.941059490564441, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.04, accuracy_train=0.9394939493949395, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.05, accuracy_train=0.9375052889904375, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.06, accuracy_train=0.9364051789794364, accuracy_val=0.901027788351732 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.07, accuracy_train=0.9354743166624355, accuracy_val=0.9006471259992387 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.08, accuracy_train=0.9344588304984345, accuracy_val=0.9014084507042254 
* min_df= 3 , max_df= 0.35000000000000003, alpha= 0.09, accuracy_train=0.9334433443344334, accuracy_val=0.9014084507042254 
